no,nombre_del_museo,telefono_fijo,celular,correo_electrãnico,pagina_web,direccion,localidad,upz,nombre_de_la_entidad_administradora_del_equipamiento,ano_inicio,caracter,del_orden,uso_principal
14,MUSEO DEL MAR,218 5382,N.D,museo.mar@utadeo.edu.co,http://www.utadeo.edu.co/es,KR 4 22 67,SANTA FE,LAS NIEVES,UNIVERSIDAD JORGE TADEO LOZANO - DEPARTAMENTO DE CIENICAS BIOLÓGICAS Y AMBIENTALES,1969,PRIVADO,,Museos de ciencia
15,MUSEO DEL ORO,386 0300 EXT 2626,N.D,wmuseo@banrep.gov.co,http://www.banrepcultural.org/museo-del-oro,KR 6 15 88,SANTA FE,LAS NIEVES,BANCO DE LA REPUBLICA - SUBGERENCIA CULTURAL,1968,PÚBLICO,NACIONAL,Museos
16,MUSEO NACIONAL DE COLOMBIA,249 47 55,N.D,info@museonacional.gov.co,http://www.museonacional.gov.co/Paginas/default.aspx,KR 7 28 66,SANTA FE,SAGRADO CORAZON,MINISTERIO DE CULTURA,1948,PÚBLICO,NACIONAL,Museos
18,MUSEO AEROESPACIAL COLOMBIANO,601 9494,N.D,MUSEOAEROESPACIAL@@HOTMAIL.COM,https://www.museofac.mil.co/,BASE AEREA CATAM AEROPUERTO INTERNACIONAL EL DORADO,FONTIBÓN,AEROPUERTO EL DORADO,FUERZA AÉREA COLOMBIANA,2001,PÚBLICO,NACIONAL,Museos
19,MUSEO DE LOS NIÑOS COLSUBSIDIO,289 6275,N.D,MUSEODELOSNIÑOS@COLSUBSIDIO.COM,http://www.museodelosninos.org.co/,AK 60 63 27,BARRIOS UNIDOS,PARQUE SALITRE,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,1987,PRIVADO,,Museos
20,CASA MUSEO JORGE ELIECER GAITÁ?N,255 14 03,N.D,museos@unal.edu.co,http://www.museos.unal.edu.co/sccs/plantilla_museo_3.php?id_museo=4&id_subseccion_museo=473,CL 42 15 52,TEUSAQUILLO,TEUSAQUILLO,UNIVERSIDAD NACIONAL DE COLOMBIA,1948,PÚBLICO,DISTRITAL,Museos
21,MUSEO DE ARQUITECTURA LEOPOLDO ROTHERN,249 9194,N.D,musalr_bog@unal.edu.co,http://www.museos.unal.edu.co/sccs/plantilla_museo_3.php?id_museo=2&id_subseccion_museo=453,AK 30 45 03,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,UNIVERSIDAD NACIONAL DE COLOMBIA - FACULTAD DE ARTES,1986,PÚBLICO,NACIONAL,Museos
22,MUSEO DE ARTE,744 7588-744 7589,N.D,dircultura@unal.edu.co,http://www.divulgacion.unal.edu.co/museo_de_arte/,AK 30 45 03,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,UNIVERSIDAD NACIONAL DE COLOMBIA - DIRECCIÓN NACIONAL DE DIVULGACIÓN CULTURAL,1971,PÚBLICO,NACIONAL,Museos
23,MUSEO DE HISTORIA NATURAL,257 3300,N.D,museohn_unal@unal.edu.co,http://ciencias.bogota.unal.edu.co/historianatural/,AK 30 45 03,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,UNIVERSIDAD NACIONAL DE COLOMBIA - FACULTAD DE CIENCIAS,1939,PÚBLICO,NACIONAL,Museos de ciencia
24,MUSEO DE LA CIENCIA Y EL JUEGO,N/RG,N.D,mcj_fcbog@unal.edu.co,http://www.cienciayjuego.com/,AK 30 45 03,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,UNIVERSIDAD NACIONAL DE COLOMBIA - FACULTAD DE CIENCIAS,1984,PÚBLICO,NACIONAL,Museos de ciencia
25,MUSEO DE MUSEO DE COLSUBSIDIO,N/RG,N.D,N.D,N.D,CL 36 5A 19,TEUSAQUILLO,TEUSAQUILLO,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,,PRIVADO,,Museos
26,MUSEO GEOLÓGICO JOSE ROYO Y GÓMEZ,N/RG,N.D,museo@sgc.gov.co,http://www2.sgc.gov.co/,DG 53 34 53,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,MINISTERIO DE MINAS Y ENERGIA Y SERVICIO GEOLOGICO COLOMBIANO,1939,PÚBLICO,NACIONAL,Museos de ciencia
27,FUNDACIÓN MARIANO OSPINA PÉREZ,NO REFIERE,N.D,fundmop@gmail.com,N.D,AK 24 39 32,TEUSAQUILLO,TEUSAQUILLO,FUNDACIÓN MARIANO OSPINA PÉREZ,1976,PRIVADO,,Museos
28,MUSEO EXPOSICIÓN DEL HOMBRE,249 63 04,3112723558,museoexposiciondelhombre@yahoo.com,N.D,CL 23A 18  90,LOS MÁ?RTIRES,LA SABANA,MELBA ROCIO LEON,1973,PRIVADO,,Museos de ciencia
29,CASA MUSEO ANTONIO NARIÑO CIUDAD MONTES,212 8670,3162950156,crd.ciudadmontes@gmail.com,crd.ciudadmontes.facebook,CL 10 SUR 38A 25,PUENTE ARANDA,CIUDAD MONTES,CASA MUSEO ANTONIO NARIÑO CIUDAD MONTES,,PÚBLICO,DISTRITAL,Museos
30,CASA MUSEO FRANCISCO JOSÉ DE CALDAS,343 1217,N.D,museocaldas@gmail.com,http://www.centrohistoricoejc.mil.co/,KR 8 6 87,CANDELARIA,LA CANDELARIA,ESCUELA DE INGENIEROS MILITARES,1944,MIXTO,,Museos
31,CASA MUSEO QUINTA DE BOLÁ?VAR,343 2614,N.D,quintabolivar@mincultura.gov.co,http://www.quintadebolivar.gov.co/Paginas/default.aspx,CL 20 2 91 ESTE,CANDELARIA,LA CANDELARIA,MINISTERIO DE CULTURA,1919,PÚBLICO,NACIONAL,Museos
32,COLECCIÓN NUMISMATICA CASA DE LA MONEDA,243 1690,3158407331,guerra@banrrep.gov.co,http://www.banrepcultural.org/blaa,CL 11 4 93,CANDELARIA,LA CANDELARIA,BANCO DE LA REPUBLICA - SUBGERENCIA CULTURAL,1621,PRIVADO,,Museos
34,MUSEO ARQUEOLÓGICO CASA DEL MARQUÉS DE SAN JORGE,341 6017,3174047873,direccion@musa.com.co,http://www.museoarqueologicomusa.com/,KR 6 7 43,CANDELARIA,LA CANDELARIA,FONDO DE PROMOCIÓN DE LA CULTURA,1997,PÚBLICO,NACIONAL,Museos
35,MUSEO BOTERO,353 5360 EXT. 2209-2214,N.D,prensablaablaa@banrrep.gov.co,http://admin.banrepcultural.org/museo-botero,CL 11 4 41,CANDELARIA,LA CANDELARIA,BANCO DE LA REPUBLICA - SUBGERENCIA CULTURAL,1996,PRIVADO,,Museos
36,MUSEO DE ARTE COLONIAL,3410403-2811903,N.D,museocolonial@mincultura.gov.co,http://www.museocolonial.gov.co/Paginas/default.aspx,KR 6 9 77,CANDELARIA,LA CANDELARIA,MINISTERIO DE CULTURA,1942,PÚBLICO,NACIONAL,Museos
37,MUSEO DE ARTE DEL BANCO DE LA REPÚBLICA,343 2614,3158407331,guerra@banrrep.gov.co,http://www.banrepcultural.org/coleccion-de-arte-banco-de-la-republica/,CL 11 4 21,CANDELARIA,LA CANDELARIA,BANCO DE LA REPUBLICA - SUBGERENCIA CULTURAL,1621,PRIVADO,,Museos
38,MUSEO DE LA SALLE,243 0840,N.D,infomuseo@lasalle.edu.co,http://museo.lasalle.edu.co/,KR 2 10 70,CANDELARIA,LA CANDELARIA,UNIVERSIDAD DE LA SALLE,1904,PRIVADO,,Museos de ciencia
39,MUSEO DE TRAJES REGIONALES DE COLOMBIA,337 6762,N.D,medi.museotrajes@uamerica.edu.co,http://museodetrajesregionales.com/,CL 10 6 18,CANDELARIA,LA CANDELARIA,FUNDACIÓN UNIVERSIDAD DE AMÉRICA,1975,PRIVADO,,Museos
40,MUSEO DEL COBRE,281 2548,3137795002,museodelcobre_1@yahoo.es,N.D,KR 6 12C 38,CANDELARIA,LA CANDELARIA,MARTHA ZAPATA,1962,PRIVADO,,Museos
41,MUSEO HISTÓRICO DE LA POLICÍ?A NACIONAL,342 18 03,300 823 7517,dinae.mupon@correo.policia.gov.co,http://www.policia.gov.co/portal/page/portal/MUSEO/Home_Museo,CL 9 9 19,CANDELARIA,LA CANDELARIA,MUSEO HISTORICO DE LA POLICÁ?A NACIONAL,1959,PÚBLICO,NACIONAL,Museos
42,MUSEO IGLESIA SANTA CLARA,352 1865 (4),N.D,museocolonial@mincultura.gov.co,http://www.museocolonial.gov.co/Paginas/default.aspx,KR 8 8 55,CANDELARIA,LA CANDELARIA,MINISTERIO DE CULTURA,1983,PÚBLICO,NACIONAL,Museos
43,MUSEO MILITAR,284 3913,N.D,museomilitar@cjfm.mil.co,N.D,CL 10 4 92,CANDELARIA,LA CANDELARIA,MUSEO MILITAR,1981,PÚBLICO,NACIONAL,Museos
44,CLAUSTRO DE SAN AGUSTÍN,320 8320,N.D,museos@unal.edu.co,http://www.museos.unal.edu.co/,KR 8 7 21,CANDELARIA,LA CANDELARIA,UNIVERSIDAD NACIONAL DE COLOMBIA,2006,PÚBLICO,NACIONAL,Museos
45,MUSEO DE BOGOTÁ? (CASA SAMANO),NO TIENE,N.D,museodebogota@idpc.gov.co,http://www.museodebogota.gov.co/,KR 4 10 18,CANDELARIA,LA CANDELARIA,MUSEO DE BOGOTÁ?,2003,PÚBLICO,DISTRITAL,Museos
46,MUSEO CIENCIAS DE LA SALUD,2436109-3422407,3123040878,museosalud@hotmail.com,N.D,KR 13 34 44 SUR PISO 8,RAFAEL URIBE URIBE,SAN JOSE,FUNDACIÓN MUSEO DE LA SALUD,2011,PRIVADO,,Museos de ciencia
17,SALÓN DE PEREGRINOS - MUSEO HISTÓRICO IGLESIA DIVINO NIÑO,217 7698,N.D,administracion@ninojesus20dejulio.org,http://www.ninojesus20dejulio.org/,KR 6 27 65 SUR,SAN CRISTÓBAL,20 DE JULIO,SOCIEDAD SALESIANA,1992,PRIVADO,,
33,MUSEO 20 DE JULIO O CASA DEL FLORERO,3 431 316,N.D,amejia@mincultura.gov.co,N.D,CL 11 6 94,N.D,LA CANDELARIA,LA CANDELARIA,,PÚBLICO,N.D,Museos
