no,nombre_del_museo,telefono_fijo,celular,correo_electrãnico,pagina_web,direccion,localidad,upz,nombre_de_la_entidad_administradora_del_equipamiento,ano_inicio,caracter,del_orden,uso_principal
88,BIBLIOTECA COLEGIO DISTRITAL RODRIGO LARA BONILLA,7168031 EXT 28,N.D,N.D,N.D,KR 43A 66 51 SUR,CIUDAD BOLÍVAR,SAN FRANCISCO,SECRETARÍA DISTRITAL DE EDUCACIÓN,1987,PÚBLICO,DISTRITAL,Biblioteca
130,UNIVERISDAD DISTRITAL FRANCISCO JOSE DE CLADAS (HEMEROTECA KAZYS GABRIUNAS - AUDITORIO SABIO CALDAS),3238400,N.D,planeac@udistrital.edu.co,http://www.udistrital.edu.co/,KR 7 40 49,CHAPINERO,CHAPINERO,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,2000,PÚBLICO,,Hemeroteca
86,BIBLIOTECA PÚBLICA ARBORIZADORA ALTA,3790176 EXT 6140,N.D,direccion_aa@biblored.gov.co,http://www.biblored.gov.co/biblioteca-arborizadora,CL 70 SUR 34 05,CIUDAD BOLÍVAR,JERUSALEM,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,1991,PÚBLICO,LOCAL,Biblioteca
117,BIBLIOTECA PÚBLICA RAFAEL URIBE,3790172 EXT 6100,3182643016,direccion_ru@biblored.gov.co,http://www.biblored.gov.co/Biblioteca-Publica-Rafael-Uribe-Uribe,KR 15 31G 40 SUR,RAFAEL URIBE URIBE,SAN JOSE,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2006,PÚBLICO,LOCAL,Biblioteca
56,BIBLIOTECA COMUNITARIA SOLIDARIDAD CON EL POZO DEL SABER,N.D,N.D,N.D,N.D,CL 93 94 16,ENGATIVÁ,MINUTO DE DIOS,BIBLIOTECA COMUNITARIA SOLIDARIDAD CON EL POZO DEL SABER,N.D,PRIVADA,,Biblioteca
108,BIBLIOTECA HOGAR DE PASO ORIENTAR,2016810,N.D,cororientar@hotmail.com - JFOREROPARRA@GMAIL.COM,N.D,KR 35 10 35,PUENTE ARANDA,ZONA INDUSTRIAL,HOGAR DE PASO 2 ORIENTAR,2009,PÚBLICO,DISTRITAL,Biblioteca
20,BIBLIOTECA COMUNITARIA SAN POLICARPO,5994306,N.D,mao_tito2@hotmail.com,N.D,KR 1B ESTE 48 52 S,SAN CRISTÓBAL,LOS LIBERTADORES,FUNDACIÓN LA FUERZA DE LAS PALABRAS,N.D,PRIVADA,,Biblioteca
127,PATRONATO COLOMBIANO DE ARTES Y CIENCIAS - BIBLIOTECA,2854309,N.D,patronatocol@hotmail.com,http://www.patronatocolombiano.com/,KR 15 33A 46,TEUSAQUILLO,TEUSAQUILLO,PATRONATO COLOMBIANO DE ARTES Y CIENCIAS,1963,PRIVADA,,Biblioteca
121,ORGANIZACIÓN CULTURAL LUDOVICO,7721841,3144455776,ludovico.taller@gmail.com,N.D,DG 51A 5B 24 SUR,RAFAEL URIBE URIBE,DIANA TURBAY,ORGANIZACIÓN CULTURAL LUDOVICO,N.D,PRIVADA,,Biblioteca
13,BIBLIOTECA COMUNITARIA LA FUERZA DE LAS PALABRAS,3718292,3132867352,FUNDADOR@LAFUERZADELASPALABRAS.COM,http://www.lafuerzadelaspalabras.com/,CL 47A SUR 8A 43 ESTE,SAN CRISTÓBAL,LOS LIBERTADORES,FUNDACIÓN LA FUERZA DE LAS PALABRAS,1997,PRIVADA,,Biblioteca
78,BIBLIOTECA COMUNITARIA NIZA IX,2535301,3112549992,nizaix.3@gmail.com,N.D,CL 127A 51A 80,SUBA,EL PRADO,BIBLIOTECA COMUNITARIA NIZA IX,N.D,PRIVADA,,Biblioteca
6,BIBILIOTECA EL PARQUE,2856050,N.D,N.D,N.D,KR 5 36 05,SANTA FE,SAGRADO CORAZON,INSTITUTO DISTRITAL DE LAS ARTES - IDARTES,N.D,PÚBLICO,DISTRITAL,Biblioteca
45,BIBLIOTECA PÚBLICA LAGO TIMIZA,3790175 EXT 6131,N.D,direccion_tm@biblored.gov.co,http://www.biblored.gov.co/biblioteca-lago-timiza,KR 74 42G 52 SUR,KENNEDY,TIMIZA,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2000,PÚBLICO,LOCAL,Biblioteca
69,BIBLIOTECA LUDOTECA TOMA UN NIÑO DE LA MANO,6824285,3002123393,tomalodelamano@gmail.com,N.D,KR 98 156C 10,SUBA,SUBA,SOCIEDAD VECINAL DE SUBA,1984,PRIVADA,,Biblioteca
57,BIBLIOTECA COLEGIO COLSUBSIDIO CIUDADELA,4316943 - 4317642,N.D,BIBLIOTECA.CEIC@COLSUBSIDIO.COM,http://www.colsubsidio.com/index.php?option=com_content&view=article&id=5&Itemid=205,KR 110 86   50,ENGATIVÁ,BOLIVIA,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,1996,PRIVADA,,Biblioteca
100,BIBLIOTECA COMUNITARIA MIRADOR DEL REY,N.D,3204064290,bibliotecamiradordelrey@gmail.com,N.D,KR 17F 71A 95 SUR,CIUDAD BOLÍVAR,EL TESORO,BIBLIOTECA COMUNITARIA MIRADOR DEL REY,N.D,PRIVADA,,Biblioteca
122,HEMEROTECA NACIONAL CARLOS LLERAS RESTREPO,3165000 EXT 20008,N.D,heme_espac@unal.edu.co,http://unal.edu.co/,AC 26 44A 40,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,UNIVERSIDAD NACIONAL DE COLOMBIA,1986,PÚBLICO,NACIONAL,Hemeroteca
99,BIBLIOTECA COMUNITARIA AVENTUREROS DEL SABER,7904408,N.D,N.D,N.D,DG 77A 18G 21 SUR,CIUDAD BOLÍVAR,EL TESORO,BIBLIOTECA COMUNITARIA AVENTUREROS DEL SABER,N.D,PRIVADA,,Biblioteca
42,BIBLIOTECA CENTRO DE SERVICIOS CIUDAD ROMA,4548370 EXT 226,227,N.D,N.D,http://www.colsubsidio.com/index.php?option=com_content&view=article&id=5&Itemid=205,KR 80 53 40 SUR,KENNEDY,KENNEDY CENTRAL,CAJA DE COMPENSACION FAMILIAR COLSUBSIDIO,1998,PRIVADA,
34,BIBLIOTECA COMUNITARIA EUREKA,N.D,3176216185,N.D,N.D,KR 17 56A 18 SUR,TUNJUELITO,TUNJUELITO,BIBLIOTECA COMUNITARIA EUREKA,N.D,PRIVADA,,Biblioteca
102,FUNDACIÓN CIUDAD TALENTO,8057895,3014819421,fct@fundacionciudadtalento.org,N.D,CL 68D 49 10 SUR,CIUDAD BOLÍVAR,JERUSALEM,FUNDACIÓN CIUDAD TALENTO,N.D,PRIVADA,,Biblioteca
39,BIBLIOTECA COMUNITARIA EL RECREO,7858816,3105705567,N.D,N.D,CL 72 SUR 104,BOSA,TINTAL SUR,BIBLIOTECA COMUNITARIA EL RECREO,N.D,PRIVADA,,Biblioteca
62,BIBLIOTECA ITINERANTE EL TESORO DE LOS NIÑOS,3057439,3118537958,bibliotecaeltesorodelosninos@gmail.com,N.D,KR 99C 71B 32,ENGATIVÁ,GARCES NAVAS,BIBLIOTECA ITINERANTE EL TESORO DE LOS NIÑOS,N.D,PRIVADA,,Biblioteca
7,BIBLIOTECA ESCOLAR JAIRO ANIBAL NIÑO,3238400,N.D,planeac@udistrital.edu.co,http://www.udistrital.edu.co/,KR 3 26A 40 Piso 5,SANTA FE,LA MACARENA,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,1988,PÚBLICO,DISTRITAL,Biblioteca
132,BIBLIOTECA JORGE E CAVALIER,2493122 EXT 116,N.D,biblioteca@anmdecolombia.org.co,http://anmdecolombia.net/,KR 7 69 11,CHAPINERO,CHICO LAGO,ACADEMIA NACIONAL DE MEDICINA,1873,PRIVADA,,Biblioteca
53,BIBLIOTECA PUBLICA LA GIRALDA,3790169 EXT 6070,3112973134,direccion_gr@biblored.gov.co,http://www.biblored.gov.co/biblioteca-giralda,KR 104B 22J 15,FONTIBÓN,FONTIBON,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2006,PÚBLICO,LOCAL,Biblioteca
33,CORPORACIÓN EXPERIMENTAL JUVENIL EL VIEJO BUCANERO,N.D,3002543131,cejuvenil@gmail.com,N.D,CL 56A 27 35 SUR,TUNJUELITO,VENECIA,CORPORACIÓN EXPERIMENTAL JUVENIL EL VIEJO BUCANERO,N.D,PRIVADA,,Biblioteca
18,BIBLIOTECA COMUNITARIA LA FUERZA DE LAS PALABRAS II,3718292,3133297288,FUNDADOR@LAFUERZADELASPALABRAS.COM,http://www.lafuerzadelaspalabras.com/,CL 47A SUR 8A 43 ESTE,SAN CRISTÓBAL,LOS LIBERTADORES,FUNDACIÓN LA FUERZA DE LAS PALABRAS,1993,PRIVADA,,Biblioteca
120,BIBLIOTECA COMUNITARIA FUNDACIÓN CENTRO DE ACCIÓN CUTURAL FRANCISCO JORDAN,3662469,3134239971,imadera@etb.net.co,N.D,DG 40 SUR 9C 15,RAFAEL URIBE URIBE,MARRUECOS,FUNDACIÓN CENTRO DE ACCIÓN CUTURAL FRANCISCO JORDAN,N.D,PRIVADA,,Biblioteca
96,CENTRO DE CAPACITACIÓN LABORAL  JUAN BOSCO OBRERO,5687304 - 5687305,N.D,N.D,N.D,KR 18G 74A 59 SUR,CIUDAD BOLÍVAR,LUCERO,SOCIEDAD SALESIANA,1999,PRIVADA,,Biblioteca
47,BIBLIOTECA COMUNITARIA FUNDACIÓN ZUÁ,N.D,N.D,info@fundacionzua.org,http://www.fundacionzua.org/es/contactenos,KR 99D BIS 38C 23 SUR (PALMITAS),KENNEDY,PATIO BONITO,FUNDACIÓN ZUÁ,2003,PRIVADA,,Biblioteca
70,BIBLIOTECA CASA LITERARIA,6844829,3107553190,N.D,N.D,CL 130B 88A 54,SUBA,EL RINCON,ASOCIACIÓN DE MANOS TRABAJADORAS A MANTRA,2002,PÚBLICO,LOCAL,Biblioteca
48,BIBLIOTECA FIDEL CANO,4547061 - 8119095,N.D,N.D,N.D,KR 79A 34 37 SUR,KENNEDY,KENNEDY CENTRAL,JUNTA DE ACCIÓN COMUNAL BARRIO FRANCISCO JOSÉ DE CALDAS,1985,PRIVADA,,Biblioteca
91,BIBLIOTECA SAN JOAQUÍN Y SANTA ANA,7901810,N.D,N.D,N.D,KR 17B 80A-53 SUR,CIUDAD BOLÍVAR,EL TESORO,BIBLIOTECA SAN JOAQUÍN Y SANTA ANA,N.D,PRIVADA,,Biblioteca
119,BIBLIOTECA COMUNITARIA CREAR JUGANDO,5993618 - 7712309,N.D,KREAR@COLNADO.APC.ORG,N.D,KR 1 48X 52 SUR,RAFAEL URIBE URIBE,DIANA TURBAY,ONG CREAR JUGANDO,1992,PRIVADA,,Biblioteca
43,BIBLIOTECA LUDOTECA INFANTIL TECHOTIBA,N.D,N.D,CONSEJOALDIA.2012@GMAIL.COM,N.D,CL 34A SUR 97F 41,KENNEDY,CALANDAIMA,CONJUNTO QUINTAS DE TIERRABUENA ETAPAS I Y II,2009,PRIVADA,,Biblioteca
83,BIBLIOTECA DEL SEMINARIO ANDRÉS BELLO,3422121,N.D,biblioteca@caricuervo.gov.co,http://www.caroycuervo.gov.co/index.php,CL 10 4 87,CANDELARIA,LA CANDELARIA,BIBLIOTECA DEL SEMINARIA ANDRES BELLO,2012,PÚBLICO,NACIONAL,Biblioteca
27,BIBLIOTECA COMUNITARIA CENTRO DE DESARROLLO COMUNITARIO SAN BLAS,3332987 -  2891278,N.D,N.D,N.D,KR 3 ESTE 15 57 SUR,USME,CIUDAD USME,BIBLIOTECA COMUNITARIA CENTRO DE DESARROLLO COMUNITARIO SAN BLAS,N.D,PÚBLICO,DISTRITAL,Biblioteca
85,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS SEDE TECNOLOGICA,3238400,N.D,biblio@udistrital.edu.co,http://www.udistrital.edu.co/,CL 68D BIS A SUR 49F 70,CIUDAD BOLÍVAR,JERUSALEM,UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,1996,PÚBLICO,,Biblioteca
68,BIBLIOTECA COMUNITARIA JULIO FLORES,6007342,N.D,N.D,N.D,CARRERA 69 94-07,SUBA,LA FLORESTA,BIBLIOTECA COMUNITARIA JULIO FLORES,N.D,PRIVADA,,Biblioteca
97,BIBLIOTECA COMUNITARIA JAVIER DE NICOLÓ,7156852,3132577982,margareth---2@hotmail.com,N.D,KR 37 75 99 SUR,CIUDAD BOLÍVAR,JERUSALEM,BIBLIOTECA COMUNITARIA JAVIER DE NICOLÓ,2012,PÚBLICO,DISTRITAL,Biblioteca
67,BIBLIOTECA COMUNITARIA PALABRA VIVA,6271680,3124778144,PALABRAVIV@GMAIL.COM,N.D,CL 137 52A 25,SUBA,EL PRADO,IGLESIA CRISTIANA PALABRA VIVA,2011,PRIVADA,,Biblioteca
46,BIBLIOTECA POPULAR FASOL (FAMILIAS SOLIDARIAS),5703610,N.D,N.D,N.D,CL 41 SUR 81 C 05,KENNEDY,CORABASTOS,CENTRO DE PROMOCIÓN Y CULTURA (CPC),1990,PRIVADA,,Biblioteca
123,BANCO DE PARTITURAS DE LA ORQUESTA FILARMÓNICA DE BOGOTÁ,2883466,N.D,N.D,http://www.filarmonicabogota.gov.co/newsite/,CL 39 BIS14 57,TEUSAQUILLO,TEUSAQUILLO,ORQUESTA FILARMÓNICA DE BOGOTÁ,1967,PÚBLICO,DISTRITAL,Centro de documentación
38,BIBLIOTECA COMUNITARIA ALAMEDA EL PORVENIR I,6462333 EXT 218 - 234,3125522778,Dra@arfundacion.org,N.D,CL 55 SUR 104 48,BOSA,EL PORVENIR,BIBLIOTECA COMUNITARIA ALAMEDA EL PORVENIR I,N.D,PRIVADA,,Biblioteca
93,BIBLIOTECA COMUNITARIA SANTA SILVIA,7913470,N.D,N.D,N.D,CL 69C 17 F 41 SUR,CIUDAD BOLÍVAR,LUCERO,BIBLIOTECA COMUNITARIA SANTA SILVIA,N.D,PRIVADA,,Biblioteca
10,FRATERNIDAD ROSACRUZ DE COLOMBIA,3410926,N.D,contacto@fraternidadrosacruzdecolombia.com,http://www.fraternidadrosacruzdecolombia.com/,CL 21 4 28,SANTA FE,LAS NIEVES,FRATERNIDAD ROSACRUZ DE COLOMBIA,N.D,PRIVADA,,Biblioteca
71,BIBLIOTECA COMUNITARIA COMUNEROS,N.D,3202509208,N.D,N.D,CL 140B 111A 35,SUBA,EL RINCON,BIBLIOTECA COMUNITARIA COMUNEROS,2000,PÚBLICO,LOCAL,Biblioteca
66,BIBLIOTECA PÚBLICA JULIO MARIO SANTO DOMINGO,3792530 EXT 4001,N.D,direccion_jm@biblored.gov.co,http://www.biblored.gov.co/biblioteca-julio-mario,AC 170 67 51,SUBA,BRITALIA,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2010,PÚBLICO,DISTRITAL,LOCAL
44,BIBLIOTECA PÚBLICA EL TINTAL MANUEL ZAPATA OLIVEILLA,3793550 EXT 1001,N.D,direccion_tt@biblored.gov.co,http://www.biblored.gov.co/biblioteca-tintal,AK 86 6C 09,KENNEDY,CALANDAIMA,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2001,PÚBLICO,DISTRITAL,LOCAL
92,BIBLIOTECA SANTA CRUZ SATÉLITE FISDECO,N.D,N.D,N.D,N.D,C 64 BIS SUR 18N 33,CIUDAD BOLÍVAR,LUCERO,BIBLIOTECA SANTA CRUZ SATÉLITE FISDECO,N.D,PRIVADA,,Biblioteca
98,ASOCIACIÓN BIBLIOTECA COMUNITARIA JUAN PABLO II SEMILLAS CREATIVAS,7909644,3214774606,SEMILLASCREATIVAS@YAHOO.ES,N.D,KR 18Q 68B 10,CIUDAD BOLÍVAR,LUCERO,ASOCIACIÓN SEMILLAS CREATIVAS,1991,PRIVADA,,Biblioteca
31,BIBLIOTECA PÚBLICA EL TUNAL GABRIEL GARCÍA MARQUEZ,3790000 EXT 2000,N.D,direccion_tn@biblored.gov.co,http://www.biblored.gov.co/biblioteca-Gabriel-Garcia-Marquez,CL 48B SUR 21 13,TUNJUELITO,VENECIA,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2001,PÚBLICO,DISTRITAL,LOCAL
114,BIBLIOTECA CENTRO EDUCATIVO FE Y ALEGRÍA MOLINOS DEL SUR,2798723,N.D,MOLINOS@FEYALEGRIA.ORG.CO,http://feyalegria.org.co/,KR 5A 48N 90 SUR,RAFAEL URIBE URIBE,MARRUECOS,COLEGIO FE Y ALEGRIA,N.D,PRIVADA,,Biblioteca
58,BIBLIOTECA DE LAS FERIAS,3790170 EXT 6080,3007942596,direccion_fr@biblored.gov.co,http://www.biblored.gov.co/biblioteca-ferias,KR 69J 73 29,ENGATIVÁ,LAS FERIAS,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,1997,PÚBLICO,LOCAL,Biblioteca
19,BIBLIOTECA COMUNITARIA JAC QUINDIO,N.D,N.D,N.D,N.D,CL 54C 19 22 ESTE,SAN CRISTÓBAL,LOS LIBERTADORES,BIBLIOTECA COMUNITARIA JAC QUINDIO,N.D,PRIVADA,,Biblioteca
126,BIBLIOTECA PÚBLICA VIRGILIO BARCO,3793520 EXT 3001,N.D,direccion_vb@biblored.gov.co,http://www.biblored.gov.co/biblioteca-virgilio,AK 60 57 60,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2001,PÚBLICO,DISTRITAL,LOCAL
61,JUNTA DE ACCIÓN COMUNAL URBANIZACIÓN LA BONANZA,4306082,3125595137,N.D,N.D,TV 71 BIS 75A 46,ENGATIVÁ,LAS FERIAS,JUNTA DE ACCIÓN COMUNAL URBANIZACIÓN LA BONANZA,N.D,PRIVADA,,Biblioteca
16,BLIBIOTECA COLEGIO DISTRITAL TÉCNICO TOMAS RUEDA VARGAS,2060910 - 2060781,N.D,N.D,N.D,KR 5 ESTE 25 51 SUR,SAN CRISTÓBAL,20 DE JULIO,BLIBIOTECA COLEGIO DISTRITAL TÉCNICO TOMAS RUEDA VARGAS,N.D,PÚBLICO,,Biblioteca
107,BIBLIOTECA PÚBLICA PUENTE ARANDA NESTOR FORERO ALCALÁ,3790171 EXT 6090,N.D,direccion_pa@biblored.gov.co,http://www.biblored.gov.co/biblioteca-puente-aranda,CL 4 31D 30,PUENTE ARANDA,CIUDAD MONTES,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2007,PÚBLICO,LOCAL,Biblioteca
4,BIBLIOTECA COMUNITARIA LA PERSEVERANCIA,2453876,3118507784,lagg40@yahoo.es,N.D,KR 4A 31 41,SANTA FE,LA MACARENA,CASA CULTURAL COMUNITARIA LA PERSEVERANCIA,1979,PRIVADA,,Biblioteca
32,CENTRO COMUNITARIO JESÚS MAESTRO,N.D,3186399719,gladys.ccjm@gmail.com,N.D,KR 31 51 03 SUR,TUNJUELITO,VENECIA,CENTRO COMUNITARIO JESÚS MAESTRO,N.D,PRIVADA,,Biblioteca
17,BIBLIOTECA COMUNITARIA ALTAMIRA PEPASO,3718687 - 2439643,3113156468 - 3202733258,FUNDACIÓNPEPASO@YAHOO.COM,N.D,KR 11B ESTE 43A 54 SUR,SAN CRISTÓBAL,LA GLORIA,FUNDACIÓN PEPASO,1982,PRIVADA,,Biblioteca
51,BIBLIOTECA COMUNITARIA JUNTA DE ACCIÓN COMUNAL ALTAMAR,3057629,3144346820,docel.7@hotmail.com,N.D,CL 42F SUR 88C 07,KENNEDY,CORABASTOS,JUNTA DE ACCIÓN COMUNAL ALTAMAR,N.D,PRIVADA,,Biblioteca
50,FUNDACIÓN AMIGOS DE JESÚS Y MARÍA,4110525,3108612132,fundacionamigosdejesusymaria@yahoo.com,N.D,KR 81B 15A 30,KENNEDY,CASTILLA,FUNDACIÓN AMIGOS DE JESÚS Y MARÍA,N.D,PRIVADA,,Biblioteca
55,BBLIOTECA COMUNITARIA MANDALA HYNTIBA,4210921,3203774721,yanethperezlopez777@hotmail.com,N.D,CL 14 108 97 1B,FONTIBÓN,ZONA FRANCA,ADMINISTRADOR DEL CONJUNTO RESIDENCIAL,2011,PRIVADA,,Biblioteca
129,BIBLIOTECA PÚBLICA EL DEPORTE,3790150 EXT 6160 - 6161,N.D,coordinador_cp@biblored.gov.co,http://www.biblored.gov.co/Biblioteca-Publica-del-Deporte_,ESTADIO NEMESIO CAMACHO EL CAMPÍN KR 30 CL 57,TEUSAQUILLO,GALERIAS,RED CAPITAL DE BIBLIOTECAS PUBLICAS  BIBLORED,2014,PÚBLICO,LOCAL,Biblioteca
60,SALA DE LECTURA PARROQUIA SAN JUAN BAUTISTA DE LA ESTRADA,N.D,3175050332,nidiavegazo@gmail.com,N.D,KR 69K 68 58,ENGATIVÁ,LAS FERIAS,SALA DE LECTURA PARROQUIA SAN JUAN BAUTISTA DE LA ESTRADA,N.D,PRIVADA,,Biblioteca
73,BIBLIOTECA RAFAEL POMBO,8137705,3134443586,N.D,N.D,CL 130D BIS 96 15,SUBA,EL RINCON,JUNTA DE ACCION COMUNAL BARRIO GLORIA LARA 2° SECTOR,2003,MIXTA,,Biblioteca
82,BIBLIOTECA LUIS CARLOS GALÁN SARMIENTO - BIBLIOTECA DEL CONGRESO,3824451,N.D,biblioteca@senado.gov.co,http://www.senado.gov.co/,KR 6 8 94,CANDELARIA,LA CANDELARIA,SENADO - CONGRESO DE LA REPÚBLICA,1973,PÚBLICO,NACIONAL,Biblioteca
